名称,名称(英語),設置場所,住所,緯度,経度,AEDのタイプ,パッドのタイプ,シリアルナンバー,モデルナンバー,AEDの有効期限,画像URL
立会小学校,"",立会小学校,東京都品川区東大井4-15-9,35.604469,139.740191,"","","","","",""
総合区民会館（きゅりあん）,"",総合区民会館（きゅりあん）,東京都品川区東大井5-18-1,35.606177,139.735836,"","","","","",""
品川保育園,"",品川保育園,東京都品川区東大井5-8-12,35.607638,139.737902,"","","","","",""
大井保育園,"",大井保育園,東京都品川区東大井6-14-16,35.600927,139.735208,"","","","","",""
関ケ原シルバーセンター,"",関ケ原シルバーセンター,東京都品川区東大井6-11-11,35.601883,139.736506,"","","","","",""
日野学園,"",日野学園,東京都品川区東五反田2-11-1,35.624505,139.728169,"","","","","",""
総合体育館,"",総合体育館,東京都品川区東五反田2-11-2,35.62418,139.728264,"","","","","",""
五反田シルバーセンター,"",五反田シルバーセンター,東京都品川区東五反田2-15-6,35.621933,139.729441,"","","","","",""
東五反田児童センター,"",東五反田児童センター,東京都品川区東五反田5-24-1,35.628012,139.723389,"","","","","",""
八ツ山保育園,"",八ツ山保育園,東京都品川区東品川1-2-15,35.622986,139.743557,"","","","","",""
台場小学校,"",台場小学校,東京都品川区東品川1-8-30,35.621383,139.743185,"","","","","",""
台場保育園,"",台場保育園,東京都品川区東品川1-8-30,35.621383,139.743185,"","","","","",""
東品川児童センター,"",東品川児童センター,東京都品川区東品川1-34-9,35.619128,139.74604,"","","","","",""
天王洲公園クラブハウス,"",天王洲公園クラブハウス,東京都品川区東品川2-5-42 ,35.620545,139.74929,"","","","","",""
東品川在宅サービスセンター,"",東品川在宅サービスセンター,東京都品川区東品川3-1-8,35.617256,139.74684,"","","","","",""
城南第二小学校,"",城南第二小学校,東京都品川区東品川3-4-5,35.615579,139.74599,"","","","","",""
東品川屋上庭園管理棟,"",東品川屋上庭園管理棟,東京都品川区東品川3-9-21,35.61729,139.749734,"","","","","",""
東品川公園弓道場,"",東品川公園弓道場,東京都品川区東品川3-14-9,35.61412,139.746038,"","","","","",""
